,director,title,release_date,budget,revenue,return
0,John Lasseter,Toy Story,1995-10-30,30000000.0,373554033.0,12.4518011
1,Joe Johnston,Jumanji,1995-12-15,65000000.0,262797249.0,4.0430346
2,Howard Deutch,Grumpier Old Men,1995-12-22,0.0,0.0,0.0
3,Forest Whitaker,Waiting to Exhale,1995-12-22,16000000.0,81452156.0,5.09075975
4,Charles Shyer,Father of the Bride Part II,1995-02-10,0.0,76578911.0,0.0
5,Michael Mann,Heat,1995-12-15,60000000.0,187436818.0,3.123946966666667
6,Sydney Pollack,Sabrina,1995-12-15,58000000.0,0.0,0.0
7,Peter Hewitt,Tom and Huck,1995-12-22,0.0,0.0,0.0
8,Peter Hyams,Sudden Death,1995-12-22,35000000.0,64350171.0,1.8385763142857143
9,Martin Campbell,GoldenEye,1995-11-16,58000000.0,352194034.0,6.072310931034483
10,Rob Reiner,The American President,1995-11-17,62000000.0,107879496.0,1.739991870967742
11,Mel Brooks,Dracula: Dead and Loving It,1995-12-22,0.0,0.0,0.0
12,Simon Wells,Balto,1995-12-22,0.0,11348324.0,0.0
13,Oliver Stone,Nixon,1995-12-22,44000000.0,13681765.0,0.3109492045454545
14,Renny Harlin,Cutthroat Island,1995-12-22,98000000.0,10017322.0,0.1022175714285714
15,Martin Scorsese,Casino,1995-11-22,52000000.0,116112375.0,2.2329302884615383
16,Ang Lee,Sense and Sensibility,1995-12-13,16500000.0,135000000.0,8.181818181818182
17,Allison Anders,Four Rooms,1995-12-09,4000000.0,4300000.0,1.075
18,Alexandre Rockwell,Four Rooms,1995-12-09,4000000.0,4300000.0,1.075
19,Robert Rodriguez,Four Rooms,1995-12-09,4000000.0,4300000.0,1.075
20,Quentin Tarantino,Four Rooms,1995-12-09,4000000.0,4300000.0,1.075
21,Steve Oedekerk,Ace Ventura: When Nature Calls,1995-11-10,30000000.0,212385533.0,7.079517766666667
22,Joseph Ruben,Money Train,1995-11-21,60000000.0,35431113.0,0.59051855
23,Barry Sonnenfeld,Get Shorty,1995-10-20,30250000.0,115101622.0,3.805012297520661
24,Jon Amiel,Copycat,1995-10-27,0.0,0.0,0.0
25,Richard Donner,Assassins,1995-10-06,50000000.0,30303072.0,0.60606144
26,Victor Salva,Powder,1995-10-27,0.0,0.0,0.0
27,Mike Figgis,Leaving Las Vegas,1995-10-27,3600000.0,49800000.0,13.833333333333334
28,Oliver Parker,Othello,1995-12-15,0.0,0.0,0.0
29,Lesli Linka Glatter,Now and Then,1995-10-20,12000000.0,27400000.0,2.283333333333333
30,Roger Michell,Persuasion,1995-09-27,0.0,0.0,0.0
31,Jean-Pierre Jeunet,The City of Lost Children,1995-05-16,18000000.0,1738611.0,0.0965895
32,Marc Caro,The City of Lost Children,1995-05-16,18000000.0,1738611.0,0.0965895
33,Zhang Yimou,Shanghai Triad,1995-04-30,0.0,0.0,0.0
34,John N. Smith,Dangerous Minds,1995-08-11,0.0,180000000.0,0.0
35,Terry Gilliam,Twelve Monkeys,1995-12-29,29500000.0,168840000.0,5.7233898305084745
36,Jean-Jacques Annaud,Wings of Courage,1996-09-18,0.0,0.0,0.0
37,Chris Noonan,Babe,1995-07-18,30000000.0,254134910.0,8.471163666666667
38,Christopher Hampton,Carrington,1995-11-08,0.0,0.0,0.0
39,Tim Robbins,Dead Man Walking,1995-12-29,11000000.0,39363635.0,3.5785122727272727
40,Stephen Low,Across the Sea of Time,1995-10-20,0.0,0.0,0.0
41,Andy Tennant,It Takes Two,1995-11-17,0.0,0.0,0.0
42,Amy Heckerling,Clueless,1995-07-19,12000000.0,0.0,0.0
43,Darrell James Roodt,"Cry, the Beloved Country",1995-12-15,0.0,676525.0,0.0
44,Richard Loncraine,Richard III,1995-12-29,0.0,0.0,0.0
45,Albert Hughes,Dead Presidents,1995-10-06,10000000.0,0.0,0.0
46,Allen Hughes,Dead Presidents,1995-10-06,10000000.0,0.0,0.0
47,Michael Hoffman,Restoration,1995-12-29,19000000.0,0.0,0.0
48,Paul W.S. Anderson,Mortal Kombat,1995-08-18,18000000.0,122195920.0,6.788662222222222
49,Gus Van Sant,To Die For,1995-05-20,20000000.0,21284514.0,1.0642257
50,Jocelyn Moorhouse,How To Make An American Quilt,1995-10-06,10000000.0,23574130.0,2.357413
