vote_count,vote_average,title,popularity,release_date
5415.0,7.7,Toy Story,21.946943,1995-10-30
2413.0,6.9,Jumanji,17.015539,1995-12-15
92.0,6.5,Grumpier Old Men,11.7129,1995-12-22
34.0,6.1,Waiting to Exhale,3.859495,1995-12-22
173.0,5.7,Father of the Bride Part II,8.387519,1995-02-10
1886.0,7.7,Heat,17.924927,1995-12-15
141.0,6.2,Sabrina,6.677277,1995-12-15
45.0,5.4,Tom and Huck,2.561161,1995-12-22
174.0,5.5,Sudden Death,5.23158,1995-12-22
1194.0,6.6,GoldenEye,14.686036,1995-11-16
199.0,6.5,The American President,6.318445,1995-11-17
210.0,5.7,Dracula: Dead and Loving It,5.430331,1995-12-22
423.0,7.1,Balto,12.140733,1995-12-22
72.0,7.1,Nixon,5.092,1995-12-22
137.0,5.7,Cutthroat Island,7.284477,1995-12-22
1343.0,7.8,Casino,10.137389,1995-11-22
364.0,7.2,Sense and Sensibility,10.673167,1995-12-13
539.0,6.5,Four Rooms,9.026586,1995-12-09
1128.0,6.1,Ace Ventura: When Nature Calls,8.205448,1995-11-10
224.0,5.4,Money Train,7.337906,1995-11-21
305.0,6.4,Get Shorty,12.669608,1995-10-20
199.0,6.5,Copycat,10.701801,1995-10-27
394.0,6.0,Assassins,11.065939,1995-10-06
143.0,6.3,Powder,12.133094,1995-10-27
365.0,7.1,Leaving Las Vegas,10.332025,1995-10-27
33.0,7.0,Othello,1.845899,1995-12-15
91.0,6.6,Now and Then,8.681325,1995-10-20
36.0,7.4,Persuasion,2.228434,1995-09-27
308.0,7.6,The City of Lost Children,9.822423,1995-05-16
249.0,6.4,Dangerous Minds,9.481338,1995-08-11
2470.0,7.4,Twelve Monkeys,12.297305,1995-12-29
4.0,6.8,Wings of Courage,0.745542,1996-09-18
756.0,6.0,Babe,14.404764,1995-07-18
16.0,6.4,Carrington,1.493361,1995-11-08
350.0,7.3,Dead Man Walking,6.891317,1995-12-29
2.0,3.5,Across the Sea of Time,0.114469,1995-10-20
149.0,6.1,It Takes Two,7.777735,1995-11-17
828.0,6.9,Clueless,9.882383,1995-07-19
13.0,6.7,"Cry, the Beloved Country",0.894647,1995-12-15
50.0,6.9,Richard III,4.561387,1995-12-29
80.0,6.6,Dead Presidents,9.87957,1995-10-06
30.0,6.3,Restoration,10.979269,1995-12-29
452.0,5.4,Mortal Kombat,10.870138,1995-08-18
177.0,6.7,To Die For,10.448481,1995-05-20
38.0,6.5,How To Make An American Quilt,4.485958,1995-10-06
5915.0,8.1,Se7en,18.45743,1995-09-22
1509.0,6.7,Pocahontas,13.280069,1995-06-14
10.0,5.9,When Night Is Falling,3.302524,1995-05-05
3334.0,8.1,The Usual Suspects,16.302466,1995-07-19
3.0,6.3,Guardian Angel,0.595949,1994-11-22
145.0,6.7,Mighty Aphrodite,15.899134,1995-09-13
11.0,7.7,Lamerica,1.361286,1994-01-01
41.0,5.2,The Big Green,5.982764,1995-09-29
15.0,6.1,Georgia,4.093443,1995-05-19
1.0,3.0,Kids of the Round Table,0.307075,1997-07-08
39.0,6.3,Home for the Holidays,8.416802,1995-11-02
181.0,7.6,The Postman,10.168437,1994-09-22
2.0,6.5,The Confessional,0.120789,1995-09-29
136.0,5.9,The Indian in the Cupboard,10.673296,1995-07-14
65.0,5.8,Eye for an Eye,4.733526,1996-01-12
115.0,6.9,Mr. Holland's Opus,7.137117,1995-12-29
192.0,6.2,Don't Be a Menace to South Central While Drinking Your Juice in the Hood,11.700115,1996-01-12
14.0,4.5,Two If by Sea,2.174487,1996-01-12
110.0,4.4,Bio-Dome,6.387469,1996-01-12
32.0,2.8,Lawnmower Man 2: Beyond Cyberspace,2.49535,1996-01-12
11.0,5.4,Two Bits,4.046208,1995-10-22
43.0,6.0,French Twist,2.518051,1995-02-08
513.0,7.0,Friday,14.56965,1995-04-26
1644.0,6.9,From Dusk Till Dawn,15.339153,1996-01-19
54.0,4.1,Fair Game,5.912223,1995-11-03
36.0,7.0,Kicking and Screaming,3.367276,1995-10-06
8.0,6.6,Les Miserables,1.479446,1995-03-22
27.0,5.1,Bed of Roses,10.412194,1996-01-26
16.0,3.9,Big Bully,2.936443,1996-01-26
154.0,6.1,Screamers,12.758848,1995-09-08
3.0,7.3,Nico Icon,0.133893,1995-02-18
74.0,6.1,The Crossing Guard,5.756462,1995-11-15
91.0,5.5,The Juror,6.010579,1996-02-02
87.0,6.7,Things to Do in Denver When You're Dead,4.486179,1995-12-01
2.0,4.5,Once Upon a Time... When We Were Colored,0.252287,1996-01-26
17.0,6.3,Angels and Insects,2.15166,1995-09-10
86.0,6.3,White Squall,9.568604,1996-02-02
59.0,5.1,Dunston Checks In,4.814825,1996-01-12
124.0,6.0,Black Sheep,8.963037,1996-02-01
190.0,6.1,Nick of Time,6.848591,1995-11-22
3.0,6.7,The Journey of August King,0.411424,1995-09-14
77.0,5.7,Mary Reilly,12.866139,1996-02-23
113.0,4.5,Vampire in Brooklyn,9.071127,1995-10-26
103.0,6.6,Beautiful Girls,4.670562,1996-02-09
459.0,5.7,Broken Arrow,14.957626,1996-02-09
6.0,7.5,A Midwinter's Tale,0.513391,1995-12-01
695.0,7.9,La Haine,12.108196,1995-05-31
13.0,5.6,Shopping,2.657647,1994-12-06
4.0,6.8,Heidi Fleiss: Hollywood Madam,0.638211,1995-12-27
67.0,6.0,City Hall,4.807223,1996-02-16
285.0,6.8,Bottle Rocket,6.904831,1996-02-21
16.0,3.3,Mr. Wrong,3.329264,1996-02-16
22.0,5.3,Unforgettable,2.464425,1996-02-23
767.0,6.5,Happy Gilmore,9.592265,1996-02-16
397.0,7.3,The Bridges of Madison County,5.951077,1995-05-28
5.0,5.1,Nobody Loves Me,1.015068,1994-11-07
93.0,6.5,Muppet Treasure Island,6.902423,1996-02-16
2.0,7.0,Catwalk,0.976707,1995-12-08
3404.0,7.7,Braveheart,20.755149,1995-05-24
2632.0,8.1,Taxi Driver,14.092713,1976-02-07
37.0,5.8,Before and After,2.938293,1996-02-23
2.0,7.5,Margaret's Museum,0.372697,1995-09-13
23.0,7.0,Happiness Is in the Field,1.254885,1995-01-31
4.0,7.3,Anne Frank Remembered,0.243986,1995-06-08
19.0,6.9,The Young Poisoner's Handbook,6.178497,1995-01-20
11.0,5.4,If Lucy Fell,2.891918,1996-03-08
7.0,5.1,Steal Big Steal Little,1.522412,1995-09-29
21.0,5.2,Race the Sun,1.317878,1996-03-22
7.0,7.0,The Boys of St. Vincent,0.86539,1992-12-06
139.0,5.4,Boomerang,6.506983,1992-06-30
29.0,6.8,The Star Maker,1.702639,1995-09-21
66.0,6.3,Flirting with Disaster,5.579088,1996-03-22
105.0,4.4,The Neverending Story III: Escape from Fantasia,6.252377,1994-10-26
2.0,7.0,Pie in the Sky,0.699066,1996-02-09
9.0,5.6,Angela,2.197439,1995-01-01
4.0,5.4,Frankie Starlight,0.637554,1995-11-22
45.0,5.1,Jade,11.418917,1995-10-13
1.0,5.5,Nueba Yol,0.291021,1995-08-16
110.0,5.6,Down Periscope,5.184977,1996-03-01
2.0,6.5,From the Journals of Jean Seberg,0.276401,1995-09-08
2.0,3.8,Man of the Year,0.540436,1995-09-15
5.0,7.2,The Neon Bible,0.370342,1995-08-23
51.0,5.9,Up Close & Personal,3.402749,1996-03-01
303.0,6.7,The Birdcage,6.49968,1996-03-08
2.0,7.0,Virgin Mary,0.918504,1995-10-12
23.0,6.3,The Brothers McMullen,2.039196,1995-08-09
1729.0,6.5,Bad Boys,9.262184,1995-04-07
31.0,5.0,The Amazing Panda Adventure,2.375865,1995-08-25
472.0,7.2,The Basketball Diaries,7.415144,1995-04-21
11.0,6.0,An Awfully Big Adventure,0.922958,1995-07-21
21.0,6.5,Amateur,1.759012,1994-08-05
1637.0,7.3,Apollo 13,18.761467,1995-06-30
151.0,6.5,Rob Roy,10.193549,1995-04-13
46.0,6.4,The Addiction,3.137285,1995-01-10
1529.0,5.2,Batman Forever,13.321354,1995-06-16
163.0,7.3,Belle de Jour,10.142662,1967-05-24
21.0,6.4,Beyond Rangoon,2.04189,1995-05-24
28.0,6.8,Blue in the Face,11.528147,1995-09-15
57.0,5.9,Canadian Bacon,5.391556,1995-06-08
1045.0,6.0,Casper,12.812539,1995-05-26
69.0,6.8,Clockers,4.558992,1995-09-15
214.0,5.0,Congo,7.260574,1995-06-09
508.0,7.0,Crimson Tide,8.657365,1995-05-12
71.0,7.6,Crumb,3.620388,1994-09-10
898.0,6.8,Desperado,6.950458,1995-08-25
88.0,6.3,Devil in a Blue Dress,4.646132,1995-09-15
2094.0,6.9,Die Hard: With a Vengeance,15.138855,1995-05-19
57.0,5.6,The Doom Generation,7.120806,1995-10-27
319.0,5.9,First Knight,15.178338,1995-07-07
130.0,5.5,Free Willy 2 - The Adventure Home,7.575098,1995-07-19
406.0,6.2,Hackers,14.810519,1995-09-14
19.0,6.5,Jeffrey,3.196456,1995-08-18
380.0,5.5,Johnny Mnemonic,11.715868,1995-05-26
643.0,5.4,Judge Dredd,8.184815,1995-06-30
34.0,4.0,Jury Duty,3.676921,1995-04-12
280.0,6.8,Kids,4.877872,1995-07-28
64.0,7.2,Living in Oblivion,10.058329,1995-01-20
87.0,5.9,Lord of Illusions,4.102409,1995-08-25
7.0,7.0,Love & Human Remains,0.354014,1993-05-20
27.0,5.5,Mad Love,2.624771,1995-05-26
400.0,6.8,Mallrats,8.25547,1995-10-20
153.0,5.2,Mighty Morphin Power Rangers: The Movie,7.024227,1995-06-30
10.0,5.6,Moonlight and Valentino,1.01115,1995-09-29
36.0,6.4,Mute Witness,2.466066,1995-09-28
12.0,5.9,Nadja,7.720056,1994-09-13
359.0,5.6,The Net,13.304342,1995-07-28
171.0,5.5,Nine Months,8.482834,1995-07-12
14.0,5.8,Party Girl,1.165039,1995-06-09
139.0,6.4,The Prophecy,10.187623,1995-09-01
1.0,10.0,Reckless,0.119713,1995-11-17
62.0,7.2,Safe,8.180047,1995-06-23
111.0,5.5,The Scarlet Letter,6.752119,1995-10-13
261.0,4.9,Showgirls,17.502375,1995-09-22
115.0,7.2,Smoke,5.552946,1995-06-09
60.0,5.7,Something to Talk About,3.743212,1995-08-04
457.0,5.5,Species,13.492845,1995-07-07
6.0,6.6,The Stars Fell on Henrietta,0.913522,1995-09-15
334.0,6.8,Strange Days,11.223055,1995-10-13
119.0,7.6,The Umbrellas of Cherbourg,8.133881,1964-02-19
9.0,4.6,The Tie That Binds,1.820419,1995-09-08
18.0,6.1,Three Wishes,11.002046,1995-10-27
112.0,6.5,Total Eclipse,4.546552,1995-11-02
117.0,6.3,"To Wong Foo, Thanks for Everything! Julie Newmar",7.653446,1995-09-07
217.0,5.6,Under Siege 2: Dark Territory,7.490247,1995-07-13
9.0,6.4,Unstrung Heroes,2.881689,1995-09-15
6.0,6.0,Unzipped,0.786023,1995-08-11
168.0,6.5,A Walk in the Clouds,9.715639,1995-08-11
1017.0,5.9,Waterworld,16.885184,1995-07-28
25.0,5.1,White Man's Burden,1.834099,1995-12-01
27.0,5.9,Wild Bill,8.922139,1995-12-01
11.0,6.0,The Browning Version,3.727644,1994-10-12
29.0,4.9,Bushwhacked,3.287036,1995-08-04
45.0,7.7,Before the Rain,3.525649,1994-06-09
984.0,7.7,Before Sunrise,11.304979,1995-01-27
464.0,6.2,Billy Madison,6.638116,1995-02-10
