vote_average,title
7.7,Toy Story
6.9,Jumanji
6.5,Grumpier Old Men
6.1,Waiting to Exhale
5.7,Father of the Bride Part II
7.7,Heat
6.2,Sabrina
5.4,Tom and Huck
5.5,Sudden Death
6.6,GoldenEye
6.5,The American President
5.7,Dracula: Dead and Loving It
7.1,Balto
7.1,Nixon
5.7,Cutthroat Island
7.8,Casino
7.2,Sense and Sensibility
6.5,Four Rooms
6.1,Ace Ventura: When Nature Calls
5.4,Money Train
6.4,Get Shorty
6.5,Copycat
6.0,Assassins
6.3,Powder
7.1,Leaving Las Vegas
7.0,Othello
6.6,Now and Then
7.4,Persuasion
7.6,The City of Lost Children
6.4,Dangerous Minds
7.4,Twelve Monkeys
6.8,Wings of Courage
6.0,Babe
6.4,Carrington
7.3,Dead Man Walking
3.5,Across the Sea of Time
6.1,It Takes Two
6.9,Clueless
6.7,"Cry, the Beloved Country"
6.9,Richard III
6.6,Dead Presidents
6.3,Restoration
5.4,Mortal Kombat
6.7,To Die For
6.5,How To Make An American Quilt
8.1,Se7en
6.7,Pocahontas
5.9,When Night Is Falling
8.1,The Usual Suspects
6.3,Guardian Angel
6.7,Mighty Aphrodite
7.7,Lamerica
5.2,The Big Green
6.1,Georgia
3.0,Kids of the Round Table
6.3,Home for the Holidays
7.6,The Postman
6.5,The Confessional
5.9,The Indian in the Cupboard
5.8,Eye for an Eye
6.9,Mr. Holland's Opus
6.2,Don't Be a Menace to South Central While Drinking Your Juice in the Hood
4.5,Two If by Sea
4.4,Bio-Dome
2.8,Lawnmower Man 2: Beyond Cyberspace
5.4,Two Bits
6.0,French Twist
7.0,Friday
6.9,From Dusk Till Dawn
4.1,Fair Game
7.0,Kicking and Screaming
6.6,Les Miserables
5.1,Bed of Roses
3.9,Big Bully
6.1,Screamers
7.3,Nico Icon
6.1,The Crossing Guard
5.5,The Juror
6.7,Things to Do in Denver When You're Dead
4.5,Once Upon a Time... When We Were Colored
6.3,Angels and Insects
6.3,White Squall
5.1,Dunston Checks In
6.0,Black Sheep
6.1,Nick of Time
6.7,The Journey of August King
5.7,Mary Reilly
4.5,Vampire in Brooklyn
6.6,Beautiful Girls
5.7,Broken Arrow
7.5,A Midwinter's Tale
7.9,La Haine
5.6,Shopping
6.8,Heidi Fleiss: Hollywood Madam
6.0,City Hall
6.8,Bottle Rocket
3.3,Mr. Wrong
5.3,Unforgettable
6.5,Happy Gilmore
7.3,The Bridges of Madison County
5.1,Nobody Loves Me
6.5,Muppet Treasure Island
7.0,Catwalk
7.7,Braveheart
8.1,Taxi Driver
5.8,Before and After
7.5,Margaret's Museum
7.0,Happiness Is in the Field
7.3,Anne Frank Remembered
6.9,The Young Poisoner's Handbook
5.4,If Lucy Fell
5.1,Steal Big Steal Little
5.2,Race the Sun
7.0,The Boys of St. Vincent
5.4,Boomerang
6.8,The Star Maker
6.3,Flirting with Disaster
4.4,The Neverending Story III: Escape from Fantasia
7.0,Pie in the Sky
5.6,Angela
5.4,Frankie Starlight
5.1,Jade
5.5,Nueba Yol
5.6,Down Periscope
6.5,From the Journals of Jean Seberg
3.8,Man of the Year
7.2,The Neon Bible
5.9,Up Close & Personal
6.7,The Birdcage
7.0,Virgin Mary
6.3,The Brothers McMullen
6.5,Bad Boys
5.0,The Amazing Panda Adventure
7.2,The Basketball Diaries
6.0,An Awfully Big Adventure
6.5,Amateur
7.3,Apollo 13
6.5,Rob Roy
6.4,The Addiction
5.2,Batman Forever
7.3,Belle de Jour
6.4,Beyond Rangoon
6.8,Blue in the Face
5.9,Canadian Bacon
6.0,Casper
6.8,Clockers
5.0,Congo
7.0,Crimson Tide
7.6,Crumb
6.8,Desperado
6.3,Devil in a Blue Dress
6.9,Die Hard: With a Vengeance
5.6,The Doom Generation
5.9,First Knight
5.5,Free Willy 2 - The Adventure Home
6.2,Hackers
6.5,Jeffrey
5.5,Johnny Mnemonic
5.4,Judge Dredd
4.0,Jury Duty
6.8,Kids
7.2,Living in Oblivion
5.9,Lord of Illusions
7.0,Love & Human Remains
5.5,Mad Love
6.8,Mallrats
5.2,Mighty Morphin Power Rangers: The Movie
5.6,Moonlight and Valentino
